ACCT,BUDGET,COST TO DATE,COMMITMENTS,TIPO,REF,GEN_ACCT,Etapa,VARIANCE
2623-004,30000.0,57600.0,0.0,Below the Line,Detalle,,SHOOT,-27600.0
2623-005,40000.0,76800.0,0.0,Below the Line,Detalle,,SHOOT,-36800.0
2623-006,40000.0,67800.0,0.0,Below the Line,Detalle,,SHOOT,-27800.0
2623-007,36000.0,68000.0,0.0,Below the Line,Detalle,,SHOOT,-32000.0
2623-008,10000.0,18000.0,0.0,Below the Line,Detalle,,SHOOT,-8000.0
2623-011,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2623-012,5250.0,6250.0,0.0,Below the Line,Detalle,,SHOOT,-1000.0
2623-013,15200.0,6080.0,0.0,Below the Line,Detalle,,SHOOT,9120.0
2623-014,21000.0,0.0,0.0,Below the Line,Detalle,,SHOOT,21000.0
2623-015,14400.0,0.0,0.0,Below the Line,Detalle,,SHOOT,14400.0
2623-016,5200.0,5200.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2623-017,15600.0,10400.0,0.0,Below the Line,Detalle,,SHOOT,5200.0
2623-018,38000.0,30400.0,0.0,Below the Line,Detalle,,SHOOT,7600.0
2623-019,3200.0,6400.0,0.0,Below the Line,Detalle,,SHOOT,-3200.0
2693-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2693-003,25000.0,0.0,0.0,Below the Line,Detalle,,ALL SHOW,25000.0
2701-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2701-003,202500.0,202500.0,0.0,Below the Line,Detalle,,PREP,0.0
2701-004,157500.0,157500.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2701-005,22500.0,22500.0,0.0,Below the Line,Detalle,,WRAP,0.0
2703-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2703-003,70000.0,70000.0,0.0,Below the Line,Detalle,,PREP,0.0
2703-004,70000.0,70000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2703-005,20000.0,20000.0,0.0,Below the Line,Detalle,,WRAP,0.0
2705-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2705-003,126000.0,126000.0,0.0,Below the Line,Detalle,,PREP,0.0
2705-004,98000.0,98000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2705-005,28000.0,28000.0,0.0,Below the Line,Detalle,,WRAP,0.0
2706-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2706-003,24000.0,24000.0,0.0,Below the Line,Detalle,,PREP,0.0
2706-004,56000.0,56000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2706-005,16000.0,16000.0,0.0,Below the Line,Detalle,,WRAP,0.0
2706-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2706-009,8000.0,8000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2706-010,16000.0,17500.0,0.0,Below the Line,Detalle,,2nd Unit,-1500.0
2706-011,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2707-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2707-003,22500.0,22500.0,0.0,Below the Line,Detalle,,PREP,0.0
2707-004,52500.0,52500.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2707-005,15000.0,22500.0,0.0,Below the Line,Detalle,,WRAP,-7500.0
2707-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2707-009,34500.0,34500.0,0.0,Below the Line,Detalle,,PREP,0.0
2707-012,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2707-013,10000.0,10000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2707-014,20000.0,20000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2707-015,10000.0,10000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2707-018,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2707-019,7500.0,7500.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2707-020,15000.0,15000.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2707-021,7500.0,7500.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
2707-024,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2707-025,34500.0,116640.0,0.0,Below the Line,Detalle,,SHOOT,-82140.0
2709-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2709-003,10000.0,0.0,0.0,Below the Line,Detalle,,PREP,10000.0
2794-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2794-003,1500000.0,1488476.147,0.0,Below the Line,Detalle,,SHOOT,11523.852999999886
2795-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2795-003,140000.0,99950.0,0.0,Below the Line,Detalle,,ALL SHOW,40050.0
2795-006,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2795-007,15000.0,0.0,0.0,Below the Line,Detalle,,ALL SHOW,15000.0
2795-010,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2795-011,63000.0,63000.0,0.0,Below the Line,Detalle,,PREP,0.0
2795-012,63000.0,63000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2795-013,18000.0,18000.0,0.0,Below the Line,Detalle,,WRAP,0.0
2798-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2798-003,20000.0,0.0,0.0,Below the Line,Detalle,,ALL SHOW,20000.0
2801-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2801-003,147000.0,147000.0,0.0,Below the Line,Detalle,,PREP,0.0
2801-004,147000.0,147000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2801-005,21000.0,34200.0,0.0,Below the Line,Detalle,,WRAP,-13200.0
2801-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2801-009,61500.0,61500.0,0.0,Below the Line,Detalle,,PREP,0.0
2801-010,86100.0,86100.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2801-011,12300.0,12300.0,0.0,Below the Line,Detalle,,WRAP,0.0
2802-002,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2802-003,36000.0,36000.0,0.0,Below the Line,Detalle,,PREP,0.0
2802-004,84000.0,84000.0,0.0,Below the Line,Detalle,,SHOOT,0.0
2802-005,0.0,0.0,0.0,Below the Line,Detalle,,WRAP,0.0
2802-008,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2802-009,10300.0,10500.0,0.0,Below the Line,Detalle,,PREP,-200.0
2802-010,72100.0,71900.0,0.0,Below the Line,Detalle,,SHOOT,200.0
2802-013,0.0,0.0,0.0,Below the Line,Detalle,,,0.0
2802-014,9000.0,8000.0,0.0,Below the Line,Detalle,,2nd Unit,1000.0
2802-015,18000.0,16000.0,0.0,Below the Line,Detalle,,2nd Unit,2000.0
2802-016,0.0,0.0,0.0,Below the Line,Detalle,,2nd Unit,0.0
